Timestamp,Price (USD),Market Cap (USD),Fully Diluted Market Cap (USD),24h Volume (USD)
2024-04-09 02:02:35,0.8672490637150264,598809286.4800118,598683851.270673,6010918.260681189
2024-04-09 03:01:06,0.8981890175371773,612663833.2741703,620042479.9361618,6220313.498901241
2024-04-09 04:06:23,0.8946809436345556,622701111.9568624,617620768.2475184,6384612.806810737
2024-04-09 05:01:14,0.8823742999688196,610073068.8310971,609125182.4529862,6373308.002299999
2024-04-09 06:00:28,0.8809174431682497,608019725.1651543,608119477.5446652,6362785.260300821
2024-04-09 07:01:47,0.8689265546015081,601426492.5938516,599841865.4403145,6500163.452225609
2024-04-09 08:06:16,0.8434349166310529,569427934.7776303,582244346.303223,6656698.628606011
2024-04-09 09:01:53,0.8242644940191841,569491656.6991196,569010521.1889058,6615177.9895971315
2024-04-09 10:07:58,0.8209403160386126,563147531.060691,566715757.4826268,6847729.363217817
2024-04-09 11:07:38,0.8192739372954904,564654253.4646466,565565414.3051611,6789167.403084663
2024-04-09 12:08:38,0.8118818203915513,556763645.8346496,560462449.9985344,6778318.486085866
2024-04-09 13:08:05,0.8199485011039396,572711700.5056547,566031082.6761827,6554771.941065322
2024-04-09 14:07:20,0.8506350501942718,574293491.9330031,587214779.6788739,6523933.21152952
2024-04-09 15:07:11,0.8169886259135334,563352774.3657839,563987806.352906,6507309.116896865
2024-04-09 16:03:25,0.8382112021039921,568834246.1831192,578638284.7208643,6170627.410342245
2024-04-09 17:06:58,0.8491328131288434,586131008.2027186,586177747.6318173,5823219.656472144
2024-04-09 18:04:18,0.832447891420832,577249198.1687176,574659726.3340921,5835392.665302689
2024-04-09 19:02:39,0.8473902984888346,583923698.1007768,584974845.9289234,5526194.606144609
2024-04-09 20:02:14,0.8490292740027462,587876054.6615114,586106271.9677174,4829287.229078545
2024-04-09 21:02:41,0.8499321903112058,592866719.8986031,586729577.8155302,4183025.0066387183
2024-04-09 22:02:25,0.8284451456611842,574120625.9915222,571896530.2151158,3955704.313373565
2024-04-09 23:05:23,0.8061122986351479,558957415.7890022,556479603.9516132,3728994.9854345904
2024-04-10 00:07:02,0.7915714878360163,540071926.5717107,546441716.3665504,3326773.7393612033
2024-04-10 01:06:50,0.776660850924115,536148528.5099084,536148528.5099084,3144380.1741266744
2024-04-10 02:04:40,0.7659826388858518,532811432.74986863,528777090.0440458,2865201.1385952174
2024-04-10 03:01:01,0.7606735172966651,529150754.04957753,525112069.81760365,2789738.9321755064
2024-04-10 04:01:21,0.73608632737935,502047301.13934916,508138913.93022114,2714765.921258203
2024-04-10 05:00:53,0.7905611119041801,548090611.0900086,545744228.4367144,2697223.2752282256
2024-04-10 06:02:13,0.7904188945263626,541504670.2699586,545646052.2021911,2528944.6118572997
2024-04-10 07:02:58,0.806159972517902,551924030.1522748,556512514.4324962,2386764.555935668
2024-04-10 08:02:49,0.8086345332604263,555647692.6036626,558220765.9804327,2285030.8602687097
2024-04-10 09:00:26,0.8037186097961023,554723024.9611379,554827180.3136277,2230500.5270960513
2024-04-10 10:00:18,0.8079775849321746,557881121.4139138,557767258.0186498,2134713.953634534
2024-04-10 11:00:23,0.790224462190376,546056748.107952,545511830.6681587,2108957.641750999
2024-04-10 12:00:59,0.79411936941592,555305867.4976242,548200583.1335021,1995551.0409142
2024-04-10 13:00:59,0.7419729310858117,514151136.30740374,512202584.5934008,2158231.617886936
2024-04-10 14:03:20,0.7143945434174578,492071165.709405,493164529.63096714,2113974.3778898274
2024-04-10 15:01:00,0.7744844019435658,529835086.44789374,534646071.0126496,2162367.3942595567
2024-04-10 16:00:25,0.7644449491608786,550419152.3653047,527715584.1340102,2123943.0277767945
2024-04-10 17:03:17,0.778712478990212,522299455.5298501,537564818.9890522,2131724.9930928024
2024-04-10 18:02:38,0.77913705884719,537056327.3710974,537857917.1480271,2164242.8770010937
2024-04-10 19:02:11,0.7493701447696066,541438846.4387137,517309067.33541226,2328276.553851027
2024-04-10 20:01:33,0.7733992662171484,532270803.482496,533896974.5154334,2383884.0148871997
2024-04-10 21:02:18,0.8152615756563488,564501383.8729968,562795580.1026058,2495481.2034813724
2024-04-10 22:06:33,0.8169484699659045,559989626.8614607,563960085.6918137,2466548.6592038227
2024-04-10 23:07:39,0.9393621432854392,647898213.1694193,648465324.6795502,2808283.145435907
2024-04-11 00:03:41,0.9532497153433792,648328090.5105361,658052265.1241219,2974007.0462335874
2024-04-11 01:03:37,0.8814153945628976,608825038.2231026,608463225.9223416,3071272.661473503
2024-04-11 02:01:28,0.8826367295640613,608624548.2441854,609306344.2060975,3062097.564720168
2024-04-11 03:03:01,0.9081714318546157,615814351.0482564,626933591.7269809,3040723.809150857
2024-04-11 04:02:42,0.9069072045561577,631177690.5305707,626060863.8111039,2904445.955235595
2024-04-11 05:02:43,0.8857327061393508,610309112.0027864,611443574.7400784,2806179.8240813958
2024-04-11 06:01:43,0.8846380794280941,610321370.612953,610687926.3772061,2763318.355599757
2024-04-11 07:01:57,0.8859207325839056,612077868.2013153,611573374.1260641,2767324.942125642
2024-04-11 08:01:48,0.8883636846117815,613556584.6049353,613259805.3829087,2774955.920643822
2024-04-11 09:01:55,0.8911683951475492,615859401.8916836,615195967.6406803,2783716.9137390335
2024-04-11 10:00:50,0.8860971773688956,611936106.7252665,611695178.4010228,2767876.0975918733
2024-04-11 11:01:36,0.884130356832368,610212809.5538292,610337432.6935526,2761732.3972276845
2024-04-11 12:01:52,0.8765582355234383,607863002.42006,605110206.8167099,2738079.5811321796
2024-04-11 13:02:27,0.8880013030909694,613451218.5912176,613009644.3004858,2772876.596406514
2024-04-11 14:00:25,0.8867393573036485,612272128.0661025,612138491.3691564,2768936.0391940232
2024-04-11 16:00:13,0.8356365075975084,577349101.6403779,576860908.3160007,692.0543563024548
2024-04-11 17:00:33,0.8371174283437728,575675511.8558203,577883225.1715558,693.2808197760738
2024-04-11 18:00:27,0.799553285863655,552143187.3403927,551951752.3910133,2394267.3929454046
2024-04-11 19:00:34,0.7813007741925175,541490962.2082,539351584.2964759,2113537.795830047
2024-04-11 20:00:39,0.7872336126905654,539232532.5245323,543447171.9996934,2162757.964087861
2024-04-11 21:00:33,0.7539363252848532,520976726.8322897,520461216.64388734,2146048.471978426
2024-04-11 22:01:24,0.7379476243184464,513003211.1094347,509423814.0430943,2161975.51712525
2024-04-11 23:01:03,0.758921497231957,523810669.4501645,523902606.28085476,1851907.6386257578
2024-04-12 00:00:39,0.7734775591106771,533802754.9742148,533951022.0699203,1677181.1315000583
2024-04-12 01:00:29,0.7524181595925015,519359498.2119342,519413188.6648536,1534393.16436304
2024-04-12 02:00:31,0.7523265153831101,513054847.9452962,519349924.36106753,1538630.5867960223
2024-04-12 03:00:54,0.744479194222491,507011194.4467292,513932721.1017497,1578127.3413585376
2024-04-12 04:00:58,0.7530746128439574,518891174.36779404,519866354.8626668,1747737.425941058
2024-04-12 05:02:47,0.7601418109381074,527264779.3557575,524745019.53896415,1869470.6652067509
2024-04-12 06:08:31,0.7819903956766382,538591484.0892944,539827647.3599098,2187355.3222049917
2024-04-12 07:09:49,0.819729158631137,565716102.546583,565879665.0478926,2302839.789262662
2024-04-12 08:09:29,0.8022700631840862,553810542.6414206,553827212.1375747,2331788.171455514
2024-04-12 09:09:20,0.7745130359176589,534989148.7980085,534665837.7654827,2483664.306597616
2024-04-12 10:09:17,0.762013755053757,534844171.8068103,526037269.6657269,2448986.882767021
